,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,Phase
9617,0.00082897,-0.00087053,-6.585e-05,0.00317598,-0.01317444,0.00161799,-0.00432408,-0.00459015,0.00085815,-0.00405189,-0.00022745,9.227e-05,0.00018532,0.00013273,1.858e-05,0.00113596,-0.00255587,0.00042977,-0.00029538,-0.00046231,8.665e-05,-0.00102045,0.00030736,2.669e-05,0.00120389,0.0136481,0.00636424,0.00405931,0.00022871,0.00282977,0.00055541,0.00106606,'H'
6897,-0.0001134,0.00218836,0.00829968,0.00088374,-0.00738415,-0.00919759,-0.00097124,0.00211554,0.00622394,-0.00034133,-0.0059964,-0.00373045,-0.00020202,5.467e-05,-9.358e-05,-0.00026799,6.537e-05,0.00068877,-2.422e-05,8.407e-05,-0.00017666,-0.00025312,-9.09e-06,0.00067208,0.00858408,0.01182803,0.00664502,0.00707033,0.00022926,0.00074195,0.00019713,0.00071822,'D'
1162,-0.00754019,-0.00846883,0.0004024,-0.00843838,-0.01241021,0.00052478,0.00214013,-0.00548904,-0.00025552,-0.00235928,-0.0055131,-0.00048521,-0.00103318,-0.00010353,3.542e-05,-0.00085056,-0.00049313,0.00016112,-0.00023843,0.00040031,-5.43e-06,-8.03e-05,-0.00026464,-3.4399999999999996e-05,0.01134625,0.01501649,0.00589703,0.0060163000000000005,0.00103895,0.00099628,0.00046597,0.00027869,'D'
2519,0.00092414,-0.00323809,-0.00030951,0.00995732,-0.00056063,-0.00096226,-0.0011222,-0.00525959,-0.00014072,0.00312823,-0.00121085,-0.00029489,-0.00025528,0.00115877,-2.958e-05,0.00039756,0.00144204,-5.92e-06,-0.00014251,0.00085484,6.329e-05,0.00108633,0.00103761,-0.00015698,0.00338157,0.0100194,0.00537981,0.00336734,0.00118693,0.00149585,0.00086894,0.00151042,'D'
7131,0.00020375,-0.00017237,-0.00241628,-0.00034431,-0.00017254,-0.0006997999999999999,4.218e-05,-0.00030017,-0.00150591,-1.658e-05,-0.00011334,-2.865e-05,-4.847e-05,7.934e-05,3.244e-05,-9.96e-06,6.544e-05,0.00021152,9.26e-06,5.7799999999999995e-05,0.00013005,-7.900000000000001e-05,4.933e-05,8.016e-05,0.00243097,0.00079877,0.00153611,0.00011807,9.848e-05,0.00022163,0.00014261,0.00012288,'D'
2592,0.00293156,0.00418039,-0.00077182,-0.00030978,0.00059363,0.00026737,-0.00069889,0.00058664,0.00013869999999999998,0.00083692,0.00155484,0.00012634,8.407e-05,0.00012442,-5.064e-05,0.00196942,-0.00017025,0.00020104,-9.312e-05,2.329e-05,1.163e-05,0.00388863,0.00067111,0.00030243,0.00516385,0.00072101,0.00092295,0.00177029,0.00015847,0.00198696,9.669e-05,0.00395768,'D'
9631,0.00156809,0.0013915,-0.00033657,0.00028689,0.00060154,-9.356e-05,0.00106916,0.00060235,-0.00042071,3.106e-05,0.00044404,-0.00013706,-0.00019389,-0.00010193,2.308e-05,-6.365e-05,-5.868e-05,9.77e-06,-0.00025228,-0.00011317,7.907e-05,1.122e-05,9.1e-07,1.836e-05,0.00212332,0.00067299,0.00129728,0.00046575,0.00022026,8.712e-05,0.00028758,2.154e-05,'H'
2419,0.00024923,0.00082714,-2.665e-05,0.00060585,0.00055957,-6.523e-05,0.00018284,0.00066296,-2.763e-05,0.01148823,0.00898964,-0.00048785,0.00017957,-0.00022161,1.491e-05,0.00022012,-2.674e-05,-2.212e-05,0.0001151,-0.00014454,7.54e-06,0.00232605,0.00104783,5.236e-05,0.00086428,0.0008273,0.00068826,0.01459559,0.00028562,0.00022284,0.00018492,0.0025517,'D'
6895,0.00137356,0.00099538,0.00790952,0.00269308,-0.0066952,-0.01419255,-0.00035010000000000005,0.00091731,0.00712165,0.00202504,-0.0051224,-0.00913184,-0.00019779,0.00026597,0.00029608,-0.00029628,0.0002768,0.00148968,-0.00026835,0.00035117,-0.00023549,-0.00031759,3.298e-05,0.00090819,0.00808938,0.0159219,0.00718901,0.01066443,0.00044443,0.00154387,0.00050079,0.00096268,'D'
9038,-0.00079758,-0.00238818,0.00024691,-0.00083318,-0.00013212,0.00010211,-0.00062153,0.00024248,1.816e-05,-0.00133924,-0.00044534,-2.089e-05,-3.552e-05,6.35e-06,3.29e-06,-0.00018253,-2.88e-06,-6.54e-06,-3.286e-05,3.682e-05,8.9e-07,-0.0002525,-6.165e-05,-2.361e-05,0.00252992,0.00084975,0.0006674,0.0014115,3.624e-05,0.00018267,4.936e-05,0.00026099,'D'
